#{"t_start": 1615665858.4029202, "env_id": "BipedalWalker-v3"}
r,l,t
-103.108041,39,12.769025
-120.370434,83,12.814192
-99.220033,73,12.858916
-83.68375,1600,13.745299
-119.938689,135,13.817354
-91.154849,1600,14.670564
-85.371683,1600,15.53935
-117.94739,108,15.601333
-87.943234,1600,16.452876
-82.353695,1600,17.312587
-101.224299,88,17.37062
-75.284158,1600,20.042236
-120.640002,110,20.957829
-118.96499,57,21.798734
-107.377321,38,22.584934
-121.870457,118,24.443249
-101.343278,53,25.309549
-126.902846,127,26.983576
-99.589485,55,27.054971
-125.565739,138,29.584406
-124.821646,147,31.378008
-130.875968,102,32.294166
-121.297352,61,33.144366
-121.523871,187,35.717276
-97.16826,111,37.590992
-121.567031,213,40.271052
-102.562747,59,41.223019
-128.2781,253,45.059621
-113.644599,35,45.862766
-112.546822,128,47.529185
-115.729423,73,48.531344
-128.355697,69,49.361255
-102.958801,61,50.337892
-129.380473,84,51.341881
-118.047652,62,52.201393
-121.77071,144,54.811557
-115.171611,47,54.868914
-112.938396,109,56.501722
-120.638211,73,57.327532
-120.467176,108,59.033084
-103.199626,66,59.870154
-112.585912,45,60.686289
-95.93161,101,61.54346
-114.261829,99,63.229733
-140.398018,251,66.80736
-93.290466,97,67.751246
-106.20766,48,68.60611
-112.537717,134,70.271483
-110.843698,113,71.975674
-98.072998,85,72.848815
-94.311902,109,74.488584
-99.941477,71,75.316592
-60.958013,307,79.509731
-102.93138,112,80.374428
-95.161831,207,83.905228
-90.831975,395,89.279849
-76.060129,129,91.104388
-62.388297,262,94.631137
-73.004083,640,103.134741
-90.201119,97,104.060545
-110.388037,93,105.696661
-56.955446,299,109.826761
-73.461906,158,111.495993
-78.174932,154,113.24658
-64.810945,156,115.958029
-67.39477,171,118.549244
-78.151441,157,120.254435
-56.262441,198,122.836542
-90.47578,91,124.473701
128.833524,784,135.051954
-107.140267,110,136.052292
-70.248443,222,139.606669
44.887582,497,146.334363
180.828086,805,156.375597
123.61625,679,166.348607
-92.723526,152,168.108453
-97.326617,124,169.880877
-70.930411,179,172.631897
-103.826318,97,174.374397
161.037768,707,184.483476
30.366453,392,189.626707
-92.501017,101,190.540297
-93.964592,136,192.302776
-84.808563,173,194.799253
317.5588,810,206.342212
132.158866,610,214.251772
319.171712,758,224.332095
317.946505,774,234.56319
38.303177,391,239.725306
104.6472,540,247.714973
-70.511134,179,250.368682
148.538668,615,258.389803
-9.576788,284,262.484455
138.994095,622,270.860892
321.71205,736,281.066829
320.256871,784,291.589254
321.518602,769,302.252197
-100.045179,94,303.953691
321.435129,759,313.233957
321.261152,741,323.413693
321.441908,730,333.049351
36.79693,366,338.067729
320.092611,727,347.821548
174.568797,650,357.317551
321.360725,714,366.705985
-87.337431,85,367.617593
320.282902,720,377.205635
130.452775,541,385.475714
320.522013,720,395.276011
319.392381,733,405.677265
320.233477,726,415.020846
321.272696,742,425.017639
321.345286,728,436.432653
321.04633,722,445.824958
321.061192,725,455.260049
321.855175,717,465.834126
321.399479,704,475.449502
320.235374,727,484.629468
322.366164,717,494.003024
321.581999,726,504.089587
321.198082,713,514.123993
