#{"t_start": 1615652570.2472315, "env_id": "BipedalWalker-v3"}
r,l,t
-116.258738,77,10.88406
-110.244392,51,10.914085
-86.546138,1600,11.795449
-76.781498,1600,12.6601
-73.955107,1600,13.604063
-99.549181,70,13.645613
-109.627354,57,13.679228
-120.879968,79,13.728226
-98.762293,74,13.776656
-110.540845,47,13.805333
-118.322848,67,13.856773
-112.695404,66,13.895202
-102.361409,73,13.937178
-101.02912,111,13.998392
-113.537545,52,14.029961
-77.576724,1600,14.919235
-123.983073,108,14.978357
-102.007757,89,15.027892
-106.630345,56,15.060195
-124.721658,88,15.110843
-97.156848,100,15.175166
-100.925997,89,15.227345
-108.067163,41,15.252638
-103.390216,73,15.293354
-112.026384,48,15.32471
-71.348594,1600,16.203035
-148.420462,659,18.318602
-123.603936,164,20.73027
-112.172812,59,21.520905
-132.132667,101,23.090311
-137.293547,249,25.642881
-115.789674,57,26.481018
-116.156392,172,28.889897
-108.582157,159,30.536037
-109.542824,60,31.353907
-101.301342,57,32.207518
-122.855622,202,34.682893
-134.33987,231,37.942886
-125.258129,72,38.74833
-133.174872,164,41.118238
-116.072132,92,41.965827
-139.392547,326,46.008562
-104.405296,52,46.791799
-111.276046,82,47.62644
-130.084298,190,50.267076
-121.151871,160,52.709932
-134.649246,150,54.369391
-112.386187,51,55.222229
-130.594298,187,57.781422
-108.119849,36,57.82756
-101.85693,51,58.660773
-103.077549,53,59.477863
-100.274773,83,60.36008
-202.122256,1315,77.654089
-134.36252,158,79.318374
-104.971463,68,80.122357
-134.247784,259,84.095902
-93.302087,1600,104.56878
-121.066185,475,110.320384
-68.194158,1600,131.112691
-114.009977,153,132.945429
-106.283944,80,134.543389
-106.192888,86,135.462685
-122.042486,578,143.010252
-109.578441,44,143.787606
-113.011641,121,145.381112
-112.28065,315,148.662921
-123.056313,278,152.726368
-64.684385,1600,173.443194
-49.521375,1600,194.220932
-51.52329,1600,214.773398
-47.087698,1600,235.873947
-36.960392,1600,256.587041
-50.665334,1600,277.14092
-103.416903,119,278.8241
-122.267955,852,289.907146
-42.428233,1600,310.713507
-85.089694,1600,331.170972
-78.174773,1600,351.776097
-50.925441,1600,372.268854
-55.211356,1600,392.840961
-103.234223,66,393.637886
-50.823615,1600,414.033575
-103.704664,86,414.861105
-110.573902,377,419.654137
-68.596312,1600,440.589553
-40.822064,1600,460.99984
-104.271176,275,465.375666
-78.713424,1600,485.92879
-40.723791,1600,506.426884
-32.791935,1600,527.197187
-30.746179,1600,548.316397
-100.061056,74,549.131379
-20.639657,1600,569.966158
-25.255012,1600,590.919774
-118.68327,69,591.842945
-104.942321,82,592.66209
-115.394199,90,593.484024
-26.263234,1600,613.636241
-89.829394,1600,634.185729
-53.37637,1600,654.760194
-36.535676,1600,675.392011
-42.035827,1600,696.03228
-37.634258,1600,716.664677
-23.392528,1600,736.946476
-98.468936,267,740.975875
-99.469366,119,742.62597
-32.41907,1600,763.41306
-25.859518,1600,784.010023
-27.109875,1600,804.230851
-100.311244,185,806.123944
-103.627068,104,807.779745
-105.405177,169,810.256754
-126.798555,237,812.750579
-21.549617,1600,833.29355
-19.34867,1600,854.111827
-17.570555,1600,875.039727
-18.173291,1600,895.540662
-19.493196,1600,915.838158
-19.712439,1600,936.271775
-93.341007,272,940.519599
-99.944061,92,941.343688
-23.813191,1600,961.748074
-23.955494,1600,982.204836
-13.844658,1600,1002.577115
-102.755887,363,1007.558004
-19.744502,1600,1028.2249
-92.976061,336,1032.323272
-26.897805,1600,1052.518708
-25.341794,1600,1072.602359
-97.62924,88,1073.448939
-12.978095,1600,1094.098496
-26.394641,1600,1114.521877
-24.079846,1600,1135.401192
-17.446086,1600,1156.85039
-91.628045,202,1160.067614
20.736688,1600,1180.337438
0.34739,1600,1201.015956
-104.394041,74,1201.852101
-14.419572,1600,1222.66861
-18.896775,1600,1243.202822
-11.039486,1600,1263.886155
-93.171438,316,1268.131275
-13.354388,1600,1288.849083
-14.780192,1600,1309.188245
-81.652103,159,1310.799051
-15.377337,1600,1331.52907
-19.973905,1600,1352.212416
-117.495711,234,1355.644297
0.191815,1600,1376.545009
-27.393791,1600,1397.170974
-93.255686,134,1398.804499
8.557536,1600,1419.618099
-17.710629,1600,1440.099145
-20.261797,1600,1460.904808
-16.807844,1600,1481.768147
-7.1355,1600,1502.564521
-114.987009,957,1514.874763
-94.806813,173,1516.524905
-6.978084,1600,1537.212384
-6.044766,1600,1557.615538
9.725223,1600,1578.562554
-15.096628,1600,1599.042482
-18.239915,1600,1620.289008
5.064893,1600,1640.510606
-0.26762,1600,1661.597545
-63.330077,545,1669.507291
-73.572029,337,1673.735286
-7.294037,1600,1694.228958
0.992786,1600,1714.640162
-8.720411,1600,1735.524866
-12.475637,1600,1756.119282
23.576058,1600,1776.708361
-116.630194,66,1777.577763
-0.502486,1600,1798.381118
10.03862,1600,1818.982056
0.864122,1600,1839.831023
-12.715066,1600,1860.570808
-4.627458,1600,1881.435997
9.065428,1600,1902.116425
-90.112492,1256,1919.118792
80.798479,1600,1939.409428
38.662243,1600,1960.204013
13.256705,1600,1981.082397
17.904742,1600,2002.298619
-98.437158,121,2003.878867
-27.488773,872,2014.472893
-78.25799,1484,2034.207142
-94.710278,1121,2048.141261
-0.8348,1600,2068.909607
7.074465,1600,2090.114709
-63.372216,713,2099.734749
49.586532,1600,2120.535949
40.763952,1600,2141.64589
-3.571021,1600,2162.159767
-6.332383,1600,2183.118333
-1.222336,1600,2203.837734
32.423913,1600,2225.270003
-63.41345,958,2237.635259
239.059105,1600,2258.600384
237.877754,1600,2279.427704
162.061721,1600,2300.084075
202.137129,1600,2321.497611
276.549703,1501,2341.607845
156.439276,1600,2362.580524
289.079146,1312,2379.122729
281.212638,1335,2397.155644
-12.002912,679,2406.383485
1.713939,994,2418.774005
-24.479048,710,2428.204249
-35.661155,443,2434.221796
44.414904,1083,2448.167858
76.365061,1590,2468.946403
269.357952,1600,2489.985489
44.185071,801,2500.510381
277.219227,1433,2519.237316
75.764602,872,2531.053064
36.632724,547,2537.510197
279.808425,1353,2555.098476
-22.821276,334,2559.130775
287.68551,1142,2574.234462
60.086639,624,2582.522096
140.684718,1082,2596.971504
288.388658,1135,2612.185228
288.481701,1104,2626.562678
290.482691,1078,2640.657865
292.643333,1072,2654.936253
170.083527,1087,2668.135112
292.93771,1067,2682.153242
293.661298,1025,2695.487478
297.340037,1000,2708.451803
293.97971,1047,2721.970756
139.591255,796,2733.444984
182.696861,940,2745.30694
295.577876,999,2758.612838
23.940337,390,2763.635039
297.153056,938,2776.076249
296.694764,907,2787.562299
298.261303,927,2799.20534
297.769088,932,2812.164991
300.08523,874,2824.076097
302.297076,900,2835.657885
301.666942,888,2846.264202
300.187881,883,2857.901147
-57.65724,176,2860.319747
297.163876,865,2872.036331
55.104935,494,2878.010217
300.378669,857,2889.586615
-44.159477,210,2892.032622
300.196655,847,2902.826367
302.146882,855,2914.715529
300.126947,859,2925.607161
299.339294,893,2937.412879
301.207902,875,2948.784619
301.459204,832,2959.410299
300.844498,862,2970.201622
303.051893,846,2981.436293
304.738394,847,2993.006015
305.077381,859,3004.542727
304.283358,861,3015.250265
306.666862,859,3026.825384
305.069759,804,3037.226686
306.773166,834,3048.623633
303.3725,854,3060.288763
306.242709,822,3071.174099
308.004034,833,3082.255316
306.121015,815,3092.178694
67.087877,499,3098.754751
307.056854,834,3109.810976
306.547004,812,3120.489867
306.433992,845,3131.232512
307.072007,808,3142.202821
306.098381,825,3153.158097
92.004915,586,3160.83484
309.772418,801,3170.880317
307.735371,802,3181.46938
306.050928,819,3192.25879
307.964521,800,3202.221833
307.137602,821,3212.72468
307.897632,811,3223.421273
309.681396,809,3233.783001
301.075009,805,3244.909722
307.76073,803,3254.816271
306.834615,783,3265.428541
308.880871,772,3275.350038
307.829882,807,3285.601339
308.052847,799,3296.165754
309.150104,795,3306.190512
306.299557,790,3316.196193
311.281464,779,3326.769704
309.961629,782,3337.411735
309.260222,805,3347.463439
