#{"t_start": 1615654823.016583, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-67.078528,161,10.714925
-72.08418,84,10.748368
-64.680801,122,10.804826
-452.863799,135,10.869553
-37.650978,76,10.900925
-342.359058,96,10.942578
-208.343454,88,10.9783
-274.070521,99,11.017616
-170.81079,124,11.082196
-123.908017,146,12.90287
-310.266097,113,14.213872
-228.422647,129,15.692704
-323.652282,102,16.847922
-417.446061,169,18.769668
-301.73147,191,20.960655
-269.218203,181,23.02798
-258.313778,193,25.262976
-512.239254,224,27.861043
-240.059638,130,29.336916
-88.229334,245,32.305431
-21.926649,355,36.570393
-19.47587,1000,51.007203
33.205729,1000,64.723149
-8.389124,1000,78.366467
-51.191968,1000,92.744817
9.299497,1000,106.22052
-31.31048,1000,119.395386
-257.194148,786,129.438844
-1.787142,1000,144.227464
-46.184286,184,146.331933
20.617038,1000,159.809066
-238.131231,890,171.338659
-92.015415,100,172.480961
-218.060249,118,173.839608
-148.76222,676,182.429348
-2.493244,1000,195.69771
-5.593996,1000,208.753897
-389.761369,75,209.608153
-31.561778,1000,222.339676
-58.640162,1000,236.880739
-36.31039,1000,250.149337
-73.30537,102,251.305437
-290.111237,176,253.31755
11.620169,1000,267.917795
31.133469,1000,282.024264
-19.921293,1000,295.285731
14.28285,1000,308.54859
-15.075957,1000,322.151002
-17.8156,1000,336.469308
-35.472863,1000,350.654199
2.951109,107,351.880767
26.22625,1000,364.994212
-13.686444,1000,379.655774
-21.173483,1000,393.519907
-26.304691,1000,406.974971
-27.286168,1000,421.556192
-48.982145,1000,435.435424
-35.964942,1000,448.895131
-29.093469,1000,463.815162
-39.113429,1000,477.125093
-17.632082,1000,491.449463
-73.13751,343,495.473682
217.83379,356,499.762667
-42.614319,1000,513.383845
-14.103051,1000,527.423355
-0.227465,1000,541.159657
-49.111795,1000,555.345486
-39.831991,1000,568.392637
-19.881196,1000,582.521708
-29.955698,1000,595.379164
2.99889,1000,608.513858
-51.336715,1000,622.512928
151.479482,802,633.046649
138.18091,820,644.295477
233.714567,391,649.00696
39.758096,1000,663.27695
-14.334813,172,665.248794
-383.778006,354,669.559628
24.850362,1000,682.213478
209.522215,198,684.494284
-71.920175,129,685.951545
227.4975,387,690.696155
-9.56658,222,693.278668
211.739343,465,698.800118
-64.075277,142,700.404344
-224.10982,383,704.990172
-21.283106,125,706.440133
-36.335174,267,709.541431
249.972128,327,713.363229
-55.118851,244,716.200148
-75.21144,126,717.658056
133.324011,976,729.904396
-47.575992,1000,744.056363
15.541883,179,746.115319
101.462417,689,754.525816
160.967271,398,759.263139
223.339601,820,769.551164
187.148864,761,779.016343
223.634642,457,784.359935
-48.309616,1000,797.164551
179.321388,361,801.46016
-31.050636,107,802.705854
-66.588328,1000,815.680138
-88.864453,1000,829.192598
252.521989,268,832.383874
194.830136,910,844.454364
-59.707429,1000,856.659947
217.444283,773,866.651692
210.447678,670,874.859523
-173.948922,604,882.281001
263.905473,340,886.380992
-53.599504,1000,899.050481
271.403628,208,901.54656
-42.11575,1000,914.131659
-72.840729,1000,927.006636
-29.019905,1000,939.866408
223.94848,272,943.061471
-3.968676,1000,956.553865
230.95395,268,959.690218
247.130208,299,963.222312
213.204066,703,972.616569
162.207796,387,977.236016
252.035692,258,980.276724
226.169887,281,983.601075
-281.789909,308,987.269935
254.416525,535,993.921622
-108.749595,320,997.643454
252.917637,198,999.934864
218.16066,399,1004.822624
262.797745,458,1010.436482
256.869566,241,1013.248878
16.908452,1000,1026.735607
216.469622,289,1030.175042
231.758602,207,1032.587795
48.987775,142,1034.22047
258.077222,377,1038.759038
255.989963,260,1041.758535
178.484907,490,1047.777018
186.051911,651,1056.29639
251.093644,182,1058.355711
227.24745,313,1062.135421
265.938465,317,1065.981029
182.057122,803,1076.159563
-66.317617,1000,1089.96803
-84.790895,101,1091.132586
212.353118,260,1094.254718
-187.317121,905,1106.038076
-47.882324,106,1107.239911
-38.789778,162,1109.085037
-182.662825,621,1117.052821
-374.61967,572,1124.012918
-16.785217,144,1125.676008
17.575299,137,1127.251234
-77.570969,1000,1140.588263
-54.177199,132,1142.11154
-53.670174,159,1143.950803
-22.9709,117,1145.290006
248.269651,226,1147.91338
-73.246887,1000,1161.434117
-341.566219,223,1164.026088
11.31225,148,1165.764839
28.38876,133,1167.2828
166.357903,694,1176.484215
198.431476,211,1178.901938
172.304314,388,1183.606982
-93.520953,1000,1196.833893
197.906229,507,1203.075946
-50.00061,1000,1215.318876
-53.839847,1000,1227.903813
-33.218749,1000,1240.589095
-42.643565,1000,1253.643657
-29.668752,1000,1266.493401
267.997855,287,1269.861013
-46.333501,1000,1284.434087
267.63034,308,1288.104668
-36.975047,1000,1301.950136
279.674802,228,1304.658566
301.630847,276,1307.903575
277.432858,227,1310.547802
193.188647,410,1315.577
293.372201,241,1318.423234
272.165628,189,1320.644233
280.308696,232,1323.364966
181.294519,484,1329.335811
126.498912,1000,1342.131333
301.833548,241,1344.924799
237.259244,181,1347.027526
234.346961,759,1356.105835
216.939168,631,1363.794672
276.331051,228,1366.470134
297.038554,242,1369.360668
229.940286,234,1372.077351
243.887555,249,1374.98538
290.25186,234,1377.756115
271.683613,279,1381.08736
166.243515,964,1393.029965
291.635143,243,1395.863284
277.332287,265,1398.994051
263.85762,576,1406.308364
252.476187,261,1409.394334
257.904776,690,1417.959293
229.066969,369,1422.373109
209.018854,701,1430.650022
218.882196,254,1433.642789
233.87962,248,1436.579509
224.829579,246,1439.598037
263.590733,158,1441.395026
182.467681,590,1448.61597
267.467922,292,1452.036014
135.908526,1000,1464.933169
284.237373,246,1467.838362
183.827255,781,1477.66078
229.803596,187,1479.843297
237.819906,820,1490.209061
224.236605,182,1492.332513
265.706409,708,1501.036358
229.722524,526,1507.77768
237.315163,282,1511.041324
271.273927,263,1514.225523
262.258763,441,1519.553418
250.183651,253,1522.519717
266.300908,985,1535.161714
257.49586,428,1540.321175
228.674716,332,1544.353159
230.582464,286,1547.749042
249.122286,262,1550.866397
267.850074,335,1554.931868
236.580676,323,1558.747934
262.801193,257,1561.823717
212.902598,684,1570.770186
317.064178,239,1573.500149
297.476493,240,1576.271879
227.714412,292,1579.761653
229.453218,247,1582.643641
226.587986,306,1586.271171
112.817721,1000,1598.513074
279.786888,243,1601.401593
233.368795,360,1605.699485
235.371009,285,1609.105614
282.28793,257,1612.08179
52.002031,144,1613.736804
274.943619,250,1616.638984
218.835006,269,1619.83298
215.55475,412,1624.74709
202.256681,269,1627.923145
244.723814,394,1632.599926
288.251716,299,1636.183256
218.695379,360,1640.462192
276.603251,231,1643.111112
271.261056,336,1647.033439
59.387643,192,1649.256002
249.705152,327,1653.093256
264.680646,282,1656.357645
289.795474,221,1658.895352
-12.437351,254,1661.863211
295.079138,272,1665.057939
284.966529,443,1670.559987
210.307281,362,1674.815289
268.527584,260,1677.919472
-15.562391,142,1679.548451
241.948002,285,1682.943104
-37.475133,72,1683.750272
229.186775,430,1688.908514
284.184651,315,1692.610449
229.354258,269,1695.798709
231.091632,365,1700.16047
237.022503,216,1702.678399
263.467068,307,1706.298645
239.609948,230,1708.979037
267.114523,222,1711.641834
244.589668,300,1715.254918
256.962963,240,1718.061217
260.207556,263,1721.163769
-361.36993,159,1722.968925
241.559809,255,1725.962166
207.667418,269,1729.169674
228.183843,247,1732.111839
269.612247,381,1736.693172
268.033707,308,1740.45415
13.856451,225,1743.077285
226.589086,239,1745.872765
213.062844,306,1749.512938
233.308645,352,1753.616711
233.800689,253,1756.572672
-333.842169,160,1758.419373
236.39546,219,1760.986119
255.465631,208,1763.425192
265.654386,338,1767.465238
297.929657,241,1770.271585
249.145655,245,1773.147691
236.87921,322,1776.984003
261.261806,264,1780.108439
251.958924,312,1783.861333
-0.961304,172,1785.851815
199.634207,308,1789.602566
81.297591,181,1791.719979
-14.373416,168,1793.687536
-47.64703,206,1796.081981
244.78402,260,1799.18025
237.572023,274,1802.373856
281.754272,261,1805.507627
254.853201,237,1808.241456
-28.481309,163,1810.111158
250.059359,243,1812.939191
255.158856,271,1816.094603
248.251163,455,1821.688352
254.638434,285,1825.103321
