#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
-3.618147,999,27.401351
-11.536679,999,45.720503
-13.746993,999,63.507629
91.199882,248,68.044117
85.746362,891,83.968
85.060918,635,95.14785
95.432596,163,97.904572
95.117611,202,101.20593
94.533246,103,102.891765
95.091146,133,105.053927
75.544703,422,113.223383
93.383505,96,115.114926
91.324562,144,117.356213
87.415041,187,120.935395
89.056035,151,123.896056
88.74644,289,129.098915
94.558214,91,130.433943
86.21921,298,136.017061
90.225065,191,139.579975
92.061311,201,142.971452
73.69211,502,152.27913
89.355989,160,155.008168
82.69366,273,159.394562
83.246761,277,164.560441
74.267197,538,173.85764
68.565018,457,181.848281
88.512154,166,184.660531
76.96876,300,190.509602
-77.428673,999,208.739034
41.940217,768,222.192486
-78.269925,999,239.729209
69.583502,412,247.08657
75.007331,443,255.47569
89.116066,254,260.017453
88.837669,282,264.653563
94.44132,142,267.62666
90.992018,199,271.113351
94.954471,150,273.959137
82.98872,356,280.506565
93.695319,91,282.201692
95.571712,94,284.023723
80.049642,317,289.688701
90.287944,192,293.210186
-54.530161,999,310.626474
-50.444686,999,328.391543
-62.818014,999,345.681786
81.626309,425,353.561278
65.344214,949,370.250725
94.743091,439,378.119857
-4.383898,999,396.099284
95.092679,285,401.346676
94.280203,274,406.559258
92.899883,605,417.30074
94.75307,224,421.075611
94.621192,224,425.026495
95.36022,180,428.240661
94.683929,229,432.370722
94.688853,192,435.746147
94.238442,203,439.796565
95.754822,131,442.02704
94.650783,249,447.11478
91.882637,261,451.981911
93.190265,195,455.44321
95.04346,118,457.229577
95.442838,121,459.421807
92.02768,250,463.88251
94.467059,147,466.610696
94.856946,115,468.216617
95.133645,161,471.206305
93.845828,232,475.621027
95.324161,77,476.776966
95.495404,93,478.576376
94.145183,166,481.607933
95.358039,136,483.841249
92.947635,137,486.778996
93.454804,158,489.716606
93.060756,162,492.570858
95.261636,93,493.807
94.000532,88,495.514301
93.909286,84,497.336025
94.498494,75,498.485658
93.522324,83,500.310966
94.031,83,501.596838
93.717004,81,503.249795
87.197881,158,506.073075
93.988105,78,507.2722
92.956817,82,509.170504
92.890446,83,510.395214
92.78324,88,512.1949
93.252507,76,513.949688
93.485618,86,515.086907
89.005829,159,518.093887
94.100772,75,519.823766
93.958521,77,521.004816
91.833205,102,522.772374
93.264053,86,524.57954
94.060257,77,525.713093
88.017081,149,528.519913
93.564703,77,529.75473
92.902333,92,531.406648
86.095749,170,534.676843
94.315504,77,535.76742
59.972853,474,544.72736
93.163944,81,545.946156
92.8096,85,547.726837
93.465741,77,548.896744
93.098964,94,550.731049
92.473614,95,552.479878
87.727939,153,555.293632
93.505457,81,557.018932
93.209388,83,558.404278
93.101585,79,560.071298
93.286734,79,561.350866
92.798475,90,563.036267
93.323948,79,564.183632
93.122612,83,565.778767
92.596414,81,566.879905
93.808137,74,568.529657
93.698267,83,569.752776
93.462672,74,571.425047
93.634384,73,572.557522
94.153052,75,573.659428
94.158391,80,575.405757
93.556191,74,576.631433
93.337339,79,578.307463
88.609157,153,580.647978
93.321003,82,582.30505
93.226045,79,583.439866
93.63869,76,585.109585
93.579345,72,586.242142
93.245772,79,587.902275
93.664919,75,589.013096
93.627882,73,590.137158
93.291029,77,591.786773
93.187698,78,593.060512
93.281613,81,594.906154
93.410855,76,596.209963
93.600184,74,597.43034
94.280898,79,599.151236
91.995597,111,600.814493
90.493923,126,603.027529
89.546437,126,605.290252
88.813414,146,608.228268
88.132626,150,610.4543
89.555651,134,612.946921
88.870759,133,615.871696
89.235261,125,618.086996
90.145914,121,619.927449
90.578292,118,622.517715
90.752296,125,624.729669
89.185147,127,626.931453
91.01925,129,629.23828
89.882605,133,631.502483
89.930156,116,633.688579
89.824457,118,635.424416
89.849688,121,637.902782
90.164129,119,640.167897
90.569166,116,642.118003
89.912673,156,644.956495
89.978677,118,647.165015
89.443685,127,649.587821
90.014249,119,651.943698
90.573993,109,653.814129
91.893864,104,655.531082
90.757928,103,657.890854
91.547284,105,659.763437
94.638396,81,660.97635
94.487469,87,662.689799
94.578488,69,663.792813
91.172863,108,666.171257
92.455836,103,667.925083
94.255542,74,669.030346
92.878589,100,670.749396
94.0009,88,672.439355
92.329413,95,674.130103
93.851796,75,675.427451
93.572398,77,677.201523
93.410437,89,678.8558
94.21529,73,679.900928
92.851764,90,681.649338
93.166197,94,683.31698
93.540412,76,684.407529
94.371925,72,685.520704
93.645999,79,687.167376
94.320036,94,689.191682
93.353849,75,690.385991
93.673998,77,691.524368
93.281408,75,693.473519
93.837621,86,694.633362
93.216414,81,696.274807
93.322502,76,697.42875
94.034203,84,699.072622
93.590133,74,700.238955
94.238951,72,702.06049
93.783861,77,703.260441
94.114912,76,704.582145
93.245915,75,706.30127
93.78521,77,707.438302
93.412235,76,708.614095
93.739296,99,710.920314
93.730227,78,712.066022
94.708476,76,713.201495
91.832135,112,715.444424
93.588711,86,717.085554
92.821356,99,718.89352
93.721369,75,720.192251
93.987652,75,721.412644
89.147991,154,724.33212
93.392825,78,726.098403
93.818297,85,727.227531
93.61841,76,729.01831
93.448715,77,730.104945
93.473025,80,731.273024
93.633364,77,733.031047
93.446189,76,734.135789
93.600964,103,735.772382
93.849626,88,737.527157
93.67868,84,739.163014
94.353295,81,740.305621
94.12673,78,741.879317
93.813606,76,743.052498
93.482747,77,744.764705
91.960978,99,746.485358
93.665649,77,747.727635
92.349214,112,749.952117
93.83797,76,751.085212
94.300852,74,752.207104
93.887685,85,754.026131
92.088806,110,755.905585
90.856867,119,758.339086
91.549294,107,760.075077
93.702847,81,761.963144
92.322833,98,763.734762
91.454902,113,766.101991
91.698477,116,767.799928
91.911487,106,769.972963
91.854891,106,771.611845
91.278365,108,773.293268
91.637927,113,775.631137
91.591367,109,777.520967
91.801076,100,779.195276
92.392277,102,780.958373
91.291903,116,783.243004
91.815116,99,784.932187
91.932865,100,786.696144
91.7731,102,788.51366
92.196124,106,790.85809
91.580212,111,792.697102
91.911778,106,794.862442
91.571228,103,796.565683
91.345118,110,798.292636
91.39884,100,799.920756
91.154908,101,802.261788
91.371733,101,803.945052
91.709383,100,805.820086
94.213643,80,807.123749
92.197476,98,808.918479
92.764629,107,811.254165
92.136011,100,813.0142
92.144113,106,815.031409
93.200034,103,816.704405
93.377363,93,818.349271
94.351717,81,820.116241
92.565769,103,821.753138
93.592546,76,822.857566
92.586623,102,825.344106
93.86475,72,826.600618
91.857335,96,828.379519
91.293808,125,830.524639
93.713864,74,831.602628
93.06783,107,833.448359
91.406455,103,835.711812
94.163901,75,836.941135
94.019848,78,838.083218
